id,company,sector,size,contact_name,contact_role,contact_linkedin,job_post_url,role_title,remote_policy,confidence,date_found,status,status_description,detail_file
JOB-001,Samsara,IoT operations platform,5000+,Michelle Smiley,Sr. Technical Recruiter,https://www.linkedin.com/in/michelle-smiley-36513b48/,https://www.samsara.com/company/careers/roles/7286112,Senior Software Engineer - Growth,US only,Medium,2026-03-20,rejected,Job posting restricted to US residents — not available from Argentina,detail/JOB-001-samsara-growth.md
JOB-002,Samsara,IoT operations platform,5000+,Michelle Smiley,Sr. Technical Recruiter,https://www.linkedin.com/in/michelle-smiley-36513b48/,https://www.samsara.com/company/careers/roles/7210180,Senior Software Engineer I - External Platform,US only,Medium,2026-03-20,rejected,Job posting restricted to US residents — not available from Argentina,detail/JOB-002-samsara-external-platform.md
JOB-003,Samsara,IoT operations platform,5000+,Michelle Smiley,Sr. Technical Recruiter,https://www.linkedin.com/in/michelle-smiley-36513b48/,https://www.samsara.com/company/careers/roles/7496573,Senior Software Engineer - Connectivity,US only,High,2026-03-20,rejected,Job posting restricted to US + Canada residents — not available from Argentina; strong domain fit — worth a cold pitch if Samsara ever posts internationally-open roles,detail/JOB-003-samsara-connectivity.md
JOB-004,Cognite,Industrial AI platform,200-500,MISSING,MISSING,MISSING,https://portfoliojobs.tcv.com/companies/cognite/jobs/66378937-senior-backend-software-engineer-atlas-ai,Senior Backend Software Engineer - Atlas AI,on-site,Medium,2026-03-20,rejected,On-site Phoenix AZ — not remote-eligible,detail/JOB-004-cognite-atlas-ai.md
JOB-005,Augury,Machine health AI / manufacturing,200-500,MISSING,MISSING,MISSING,https://www.augury.com/careers/backend-developer-7119261002/,Backend Developer,unknown — verify,Medium,2026-03-20,incomplete,Remote policy and international contractor eligibility not confirmed — verify before pursuing,detail/JOB-005-augury-backend.md
JOB-006,Tramcase,Legal tech / immigration AI,20-50,MISSING,MISSING,MISSING,https://tramcase.na.teamtailor.com/jobs/132047-ai-engineer-startup-transforming-legal-tech-with-ai,AI Engineer,international ok — LATAM listed (Argentina included),High,2026-03-20,new,,detail/JOB-006-tramcase-ai-engineer.md
JOB-007,Beacon AI,Aviation AI / safety systems,20-50,MISSING,MISSING,MISSING,https://beaconai.co/careers,Senior Engineer,international ok — LATAM specifically targeted,High,2026-03-20,incomplete,No named role posted — apply via Google Form; find a contact on LinkedIn first,detail/JOB-007-beacon-ai-senior-engineer.md
JOB-008,GreenCode Software,Software contractor / IT outsourcing,50-200,MISSING,MISSING,MISSING,https://www.greencodesoftware.com/en,Senior Python Backend Engineer,international ok — Argentina only,High,2026-03-20,incomplete,Apply at greencodesoftware.com or careers@greencodesoftware.com — confirm role still open,detail/JOB-008-greencode-senior-python.md
JOB-009,DrSwarm,Healthcare AI / workflow automation,10-20,MISSING,MISSING,MISSING,https://hnhiring.com/locations/remote,Founding Engineer (Full-Stack),international ok — US or LATAM,Medium,2026-03-20,incomplete,Found via HN March 2026 thread — verify role still open; no direct apply URL found,detail/JOB-009-drswarm-founding-engineer.md
JOB-010,Hire5 (undisclosed insurtech client),Insurtech / AI backend,unknown,MISSING,MISSING,MISSING,https://jobs.hire5.co/jobs/7298472-senior-backend-engineer-python-fastapi-aws-remote-latam,Senior Backend Engineer,international ok — LATAM,Medium,2026-03-20,incomplete,Staffing agency placement — end client undisclosed (insurtech); confirm role still active,detail/JOB-010-hire5-insurtech-backend.md
